pixel_x,pixel_y,square_x,square_y
374.35128744088286,571.7981007431875,7.0,5.0
416.8505993043565,533.1623626854841,7.0,6.0
180.2067037009234,1035.426957435628,8.0,0.0
227.53548282161,910.8267021995346,8.0,1.0
287.4208768110502,794.9194880264245,8.0,2.0
344.40859044616275,705.0913970422641,8.0,3.0
397.53273027550483,631.6834947326278,8.0,4.0
440.9979355904212,572.7639941946301,8.0,5.0
476.7359932937969,527.3670019768286,8.0,6.0
505.7127968370743,486.7994770162401,8.0,7.0
533.7237069289093,458.78856692440513,8.0,8.0
269.0689012336411,1090.4828841678552,9.0,0.0
315.43178690288516,942.7011860971398,9.0,1.0
371.45360708655505,814.2373570552762,9.0,2.0
428.4413207216677,708.9549708480345,9.0,3.0
474.80420639091165,630.7176012811851,9.0,4.0
515.3717313515002,566.002740034532,9.0,5.0
545.3144283462203,523.5034281710583,9.0,6.0
571.3935515351701,485.83358356479755,9.0,7.0
592.643207466907,454.9249931186348,9.0,8.0
403.32809098416044,1145.5388109000826,10.0,0.0
439.06614868753593,977.4733503490729,10.0,1.0
489.29260816255044,830.6575457298002,10.0,2.0
535.6554938317944,715.7162250081326,10.0,3.0
574.2912318894979,626.8540274754148,10.0,4.0
604.233928884218,566.002740034532,10.0,5.0
587.813740209694,1199.6288441808674,11.0,0.0
609.0633961414309,1010.3137276981208,11.0,1.0
373.455308660511,573.9350023771991,7.0,5.0
414.0741310712409,531.4269324124817,7.0,6.0
345.1165953506994,706.1823311563197,8.0,3.0
396.12627930836027,630.6124289968222,8.0,4.0
440.52359682706503,572.9903786002053,8.0,5.0
475.47467657583263,526.7038135275131,8.0,6.0
505.7026374396316,488.91886244776435,8.0,7.0
372.17497882129857,815.0514933899136,9.0,2.0
426.1592949241066,711.1903634964677,9.0,3.0
473.6889645363614,630.8006753868514,9.0,4.0
515.3507737026589,568.601354659703,9.0,5.0
544.1032898878501,525.1791873596184,9.0,6.0
571.0954479392542,488.79845259468243,9.0,7.0
401.79402197032255,1149.210882566374,10.0,0.0
441.46822060405873,980.1232264844982,10.0,1.0
488.69940945374475,831.8172934964844,10.0,2.0
534.0413507494432,715.6285689262569,10.0,3.0
572.7709256061858,628.7231814428347,10.0,4.0
602.9988864699847,566.3780121612493,10.0,5.0
624.7252333408403,521.0360708655508,10.0,6.0
643.6177088807146,485.14036733978946,10.0,7.0
586.9402822610914,1198.3313189700475,11.0,0.0
609.6112529089407,1009.4065635713035,11.0,1.0
637.9499662187523,844.0974025974027,11.0,2.0
664.3994319745764,719.4070640342318,11.0,3.0
686.125778845432,627.778557665841,11.0,4.0
702.1843830543253,563.5441408302681,11.0,5.0
713.5198683782498,520.0914470885571,11.0,6.0
722.0214823711933,481.3618722318146,11.0,7.0
810.8161174086028,1221.0022896178966,12.0,0.0
809.8714936316092,1021.6866726722219,12.0,1.0
807.0376223006281,848.8205214823713,12.0,2.0
806.0929985236342,719.4070640342318,12.0,3.0
807.0376223006281,629.6678052198286,12.0,4.0
805.1483747466405,564.4887646072619,12.0,5.0
805.1483747466405,521.0360708655508,12.0,6.0
802.3145034156594,480.4172484548209,12.0,7.0
1033.7473287791206,1194.5528238620725,13.0,0.0
1006.3532392463028,1008.4619397943098,13.0,1.0
978.014525936491,840.3189074894278,13.0,2.0
950.6204364036732,719.4070640342318,13.0,3.0
925.1155944248428,626.8339338888474,13.0,4.0
910.9462377699369,562.5995170532744,13.0,5.0
894.8876335610439,518.2021995345697,13.0,6.0
887.3306433450941,479.4726246778272,13.0,7.0
1217.9489652928958,1140.7092685734306,14.0,0.0
1173.551647774191,974.4554838225359,14.0,1.0
1126.320458924505,825.2049270575283,14.0,2.0
1078.1446462978254,709.9608262642946,14.0,3.0
1037.5258238870954,624.9446863348599,14.0,4.0
